2026-01-09 10:19:20,262 [INFO] 开始启动浏览器实例
2026-01-09 10:19:21,056 [INFO] 浏览器实例启动成功
2026-01-09 10:19:23,148 [INFO] 开始获取全局公共参数
2026-01-09 10:19:23,148 [INFO] 正在请求登录接口获取token
2026-01-09 10:19:23,148 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/uaa/user/login
2026-01-09 10:19:25,382 [INFO] 接口调用成功: 200
2026-01-09 10:19:27,430 [INFO] 尝试从JSON路径 $.data.tokenValue 获取值
2026-01-09 10:19:27,431 [INFO] 成功获取到值: 12545320-0b86-4b2c-845d-f3c21f373842
2026-01-09 10:19:27,431 [INFO] 正在请求目标接口获取公共参数
2026-01-09 10:19:27,447 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 10:19:30,944 [INFO] 接口调用成功: 200
2026-01-09 10:19:32,988 [INFO] 正在调用接口: POST http://10.100.0.184:11080/api/targetv2/target/all/simplified
2026-01-09 10:19:35,462 [INFO] 接口调用成功: 200
2026-01-09 10:19:37,528 [INFO] 尝试从JSON路径 $.data.data[*][0] 获取值
2026-01-09 10:19:37,528 [INFO] 成功获取到值: 2601090218534074612
2026-01-09 10:19:37,553 [INFO] 尝试从JSON路径 $.data.data[*][2] 获取值
2026-01-09 10:19:37,554 [INFO] 成功获取到值: 413465160
2026-01-09 10:19:37,579 [INFO] 尝试从JSON路径 $.data.data[*][32] 获取值
2026-01-09 10:19:37,579 [INFO] 成功获取到值: BPCP5
2026-01-09 10:19:37,602 [INFO] 尝试从JSON路径 $.data.data[*][31] 获取值
2026-01-09 10:19:37,603 [INFO] 成功获取到值: 1026738
2026-01-09 10:19:37,619 [INFO] 尝试从JSON路径 $.data.data[*][21] 获取值
2026-01-09 10:19:37,619 [INFO] 成功获取到值: 163331
2026-01-09 10:19:37,646 [INFO] 尝试从JSON路径 $.data.data[*][14] 获取值
2026-01-09 10:19:37,647 [INFO] 成功获取到值: BAO DE1116
2026-01-09 10:19:37,660 [INFO] 尝试从JSON路径 $.data.data[*][13] 获取值
2026-01-09 10:19:37,661 [INFO] 成功获取到值: 鲁岚渔养79101
2026-01-09 10:19:37,661 [INFO] 获取到的参数: targetId=2601090218534074612, mmsi=413465160, callSign=BPCP5, imo=1026738, terminal=163331, vesselName=BAO DE1116, shipName=鲁岚渔养79101
2026-01-09 10:19:39,704 [INFO] 全局公共参数获取成功
2026-01-09 10:19:39,705 [INFO] 开始创建页面并执行登录
2026-01-09 10:19:40,040 [INFO] 正在导航到登录页面: http://10.100.0.184:11080/login
2026-01-09 10:19:53,375 [INFO] 正在执行登录操作
2026-01-09 10:19:54,656 [INFO] 登录成功
2026-01-09 10:19:54,657 [INFO] 首次执行：点击【目标筛选】→【一键筛选】
